frames,action_values
8000,17.4712
8001,17.4707
8002,17.4983
8003,17.5335
8004,17.513
8005,17.5074
8006,17.526
8007,17.5562
8008,17.5869
8009,17.6118
8010,17.6102
8011,17.7447
8012,17.9494
8013,17.8967
8014,17.7967
8015,17.7624
8016,17.867
8017,17.9289
8018,17.9732
8019,17.8476
8020,17.8555
8021,18.1169
8022,18.089
8023,18.1688
8024,18.1521
8025,18.1495
8026,17.9776
8027,18.0535
8028,18.2484
8029,18.1626
8030,18.0861
8031,17.5696
8032,17.2676
8033,17.0234
8034,16.9588
8035,17.5816
8036,17.639
8037,17.5798
8038,17.5282
8039,17.5541
8040,17.5024
8041,17.4859
8042,17.4698
8043,17.6215
8044,17.6119
8045,17.6981
8046,17.7937
8047,17.7065
8048,17.6631
8049,17.6047
8050,17.7234
8051,17.6882
8052,17.6967
8053,17.8227
8054,17.6901
8055,17.6758
8056,17.8676
8057,18.2334
8058,17.8286
8059,17.9372
8060,17.9709
8061,17.6934
8062,17.6498
8063,16.6209
8064,16.7144
8065,16.6324
8066,16.734
8067,16.8197
8068,16.7477
8069,16.656
8070,16.9176
8071,16.4958
8072,16.555
8073,16.6677
8074,16.5399
8075,16.592
8076,16.5298
8077,16.5076
8078,16.64
8079,16.6192
8080,16.7405
8081,16.7522
8082,16.798
8083,16.6911
8084,16.7643
8085,17.0521
8086,16.9639
8087,17.0172
8088,17.0075
8089,17.0574
8090,16.9786
8091,16.9193
8092,17.0907
8093,17.2417
8094,17.179
8095,16.8841
8096,16.8759
8097,16.9478
8098,17.1149
8099,16.9375
8100,17.0457
8101,16.9787
8102,16.9527
8103,17.0565
8104,17.0378
8105,17.3517
8106,17.1335
8107,16.8995
8108,16.9713
8109,16.9616
8110,17.0645
8111,17.4162
8112,17.9364
8113,18.2846
8114,18.5492
8115,17.5599
8116,17.7316
8117,18.0617
8118,17.9834
8119,17.5198
8120,17.4613
8121,17.5181
8122,17.4916
8123,17.6367
8124,17.5702
8125,17.6599
8126,17.6699
8127,17.7365
8128,17.7911
8129,17.7947
8130,17.7429
8131,17.6359
8132,17.6775
8133,17.6962
8134,17.7331
8135,17.647
8136,17.703
8137,17.62
8138,17.6866
8139,17.7052
8140,17.7654
8141,17.6849
8142,17.8785
8143,17.2049
8144,17.1678
8145,16.8869
8146,16.849
8147,16.7887
8148,16.7665
8149,16.836
8150,16.8381
8151,16.8845
8152,16.9399
8153,16.9484
8154,17.0204
8155,17.1613
8156,17.2318
8157,17.2304
8158,17.2578
8159,17.2336
8160,17.283
8161,17.3888
8162,17.5379
8163,17.4477
8164,17.288
8165,17.3179
8166,17.389
8167,17.4057
8168,17.5079
8169,17.4697
8170,17.4923
8171,17.4837
8172,17.5685
8173,17.4184
8174,17.5164
8175,17.5165
8176,17.3943
8177,17.5223
8178,17.6481
8179,17.5541
8180,17.421
8181,17.2121
8182,17.4435
8183,17.4436
8184,17.4846
8185,17.4091
8186,17.5458
8187,17.6997
8188,18.0219
8189,17.461
8190,17.6575
8191,16.7813
8192,16.9759
8193,16.9997
8194,17.3368
8195,17.4506
8196,17.256
8197,17.1311
8198,17.0763
8199,16.9163
8200,16.9458
8201,17.0768
8202,16.9111
8203,16.9532
8204,16.9077
8205,17.0811
8206,16.9127
8207,16.9461
8208,16.9724
8209,17.0145
8210,17.1034
8211,17.1336
8212,17.1005
8213,17.089
8214,17.0808
8215,17.122
8216,17.1518
8217,17.2136
8218,17.2995
8219,16.9691
8220,17.0271
8221,17.0464
8222,17.1506
8223,17.0723
8224,17.2418
8225,17.2399
8226,17.6027
8227,17.2159
8228,17.2243
8229,17.2878
8230,17.2794
8231,17.2937
8232,17.5364
8233,17.643
8234,17.3017
8235,17.5754
8236,17.3861
8237,17.0458
8238,4.34227
8239,17.6265
8240,17.548
8241,17.4134
8242,17.3188
8243,17.1333
8244,17.145
8245,17.2607
8246,17.3393
8247,17.3249
8248,17.3429
8249,17.3336
8250,17.2949
8251,17.2198
8252,17.3364
8253,17.3235
8254,17.2697
8255,17.3322
8256,17.2183
8257,17.2714
8258,17.7367
8259,17.4374
8260,17.2957
8261,17.3908
8262,17.1507
8263,16.8051
8264,16.7128
8265,16.6017
8266,16.6425
8267,16.8899
8268,17.0417
8269,17.0021
8270,17.5899
8271,17.532
8272,17.3469
8273,17.2462
8274,17.3584
8275,17.5016
8276,17.3461
8277,17.2795
8278,17.3495
8279,17.3136
8280,17.1178
8281,16.9512
8282,15.8995
8283,17.7217
8284,17.7886
8285,17.8258
8286,17.2238
8287,16.6419
8288,16.6742
8289,16.8875
8290,17.2546
8291,17.5954
8292,17.3336
8293,17.0297
8294,17.0472
8295,17.0335
8296,17.075
8297,17.4226
8298,17.1332
8299,16.647
8300,16.7758
8301,16.9862
8302,17.428
8303,16.8325
8304,17.5485
8305,17.6069
8306,17.5822
8307,17.0167
8308,16.8656
8309,16.8014
8310,16.6573
8311,16.9738
8312,16.8898
8313,16.7765
8314,16.7872
8315,16.7299
8316,16.85
8317,16.8204
8318,16.7784
8319,16.6782
8320,16.7025
8321,16.7137
8322,16.6978
8323,16.9983
8324,16.7518
8325,16.8018
8326,16.8516
8327,17.016
8328,17.0937
8329,17.3046
8330,17.2627
8331,17.032
8332,17.0538
8333,16.984
8334,16.9781
8335,17.0518
8336,17.2303
8337,17.2819
8338,17.121
8339,17.2913
8340,17.19
8341,17.7029
8342,17.4246
8343,17.3636
8344,17.4078
8345,17.4217
8346,17.4407
8347,17.423
8348,17.1655
8349,17.1261
8350,17.1055
8351,17.3769
8352,17.3271
8353,17.2151
8354,16.9013
8355,16.3383
8356,16.2426
8357,16.2363
8358,16.253
8359,16.4608
8360,16.4576
8361,16.6077
8362,16.382
8363,16.376
8364,16.4091
8365,16.5248
8366,16.5786
8367,16.3227
8368,16.344
8369,16.3827
8370,16.9682
8371,16.4696
8372,16.3039
8373,16.827
8374,16.3113
8375,16.4129
8376,16.3957
8377,16.4298
8378,16.4049
8379,16.2452
8380,16.305
8381,16.249
8382,16.2707
8383,16.1807
8384,16.3231
8385,16.344
8386,16.3558
8387,16.3349
8388,16.1828
8389,16.9346
8390,16.8887
8391,17.1161
8392,17.1076
8393,17.1741
8394,17.23
8395,17.2847
8396,17.3514
8397,17.2878
8398,17.3571
8399,17.2817
8400,17.2516
8401,17.4503
8402,17.6128
8403,17.6544
8404,16.9554
8405,16.7815
8406,16.0565
8407,16.2228
8408,16.2572
8409,16.2824
8410,16.2858
8411,16.1454
8412,16.1825
8413,16.186
8414,16.6667
8415,16.56
8416,16.6922
8417,17.0015
8418,17.2051
8419,17.1183
8420,16.8346
8421,16.9889
8422,16.7127
8423,16.8308
8424,16.8113
8425,16.8505
8426,16.7343
8427,16.7195
8428,16.7165
8429,16.7431
8430,16.8068
8431,17.0415
8432,17.0996
8433,17.0763
8434,17.2662
8435,17.1153
8436,16.8118
8437,16.7268
8438,17.035
8439,17.1515
8440,17.1381
8441,17.1709
8442,17.2749
8443,17.0932
8444,17.1161
8445,17.0481
8446,17.2045
8447,17.0731
8448,17.1337
8449,17.0363
8450,17.2552
8451,17.2265
8452,16.8881
8453,16.6167
8454,16.2262
8455,16.2153
8456,16.2495
8457,16.2524
8458,16.1775
8459,15.975
8460,15.9397
8461,15.9489
8462,15.956
8463,16.0806
8464,16.197
8465,16.1812
8466,16.0309
8467,15.941
8468,15.8946
8469,15.9591
8470,16.0725
8471,16.2745
8472,16.2444
8473,16.2208
8474,16.1277
8475,15.9528
8476,15.9106
8477,15.88
8478,15.917
8479,15.9516
8480,16.1607
8481,16.1883
8482,15.917
8483,16.2254
8484,16.2872
8485,16.6777
8486,16.9064
8487,16.4358
8488,16.9518
8489,16.8801
8490,16.3226
8491,16.4365
8492,16.4314
8493,16.4758
8494,16.55
8495,16.7161
8496,16.5908
8497,16.6708
8498,16.6961
8499,17.0069
8500,16.9057
